Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items,,,
10103104,BUDAHUHB,Budapest Bank Zrt. Nyugati téri fiók,"1132 Budapest, Nyugati tér 4-5.",S,R,,,
10103173,BUDAHUHB,Budapest Bank ZRT Lipotvarosi fiok,"1055 Budapest, Kossuth Lajos tér 10.",S,R,,,
10103214,BUDAHUHB,Budapest Bank Zrt. Kaposvári fiók,"7400 Kaposvár, Fő utca 3.",S,R,,,
10103379,BUDAHUHB,Budapest Bank Zrt. Győri fiók,"9021 Győr, Bajcsy-Zsilinszky út 36.",S,R,,,
10103386,BUDAHUHB,Budapest Bank Zrt. Soproni fiók,"9400 Sopron, Várkerület 77.",S,R,,,
10103434,BUDAHUHB,Budapest Bank Zrt. Debreceni fiók,"4024 Debrecen, Vár utca 6/A",S,R,,,
10103513,BUDAHUHB,Budapest Bank Zrt. Egri fiók,"3300 Eger, Almagyar utca 5.",S,R,,,
10103551,BUDAHUHB,Budapest Bank Zrt. Gyöngyösi fiók,"3200 Gyöngyös, Fő tér 19.",S,R,,,
10103623,BUDAHUHB,Budapest Bank Zrt. Tatabányai fiók,"2800 Tatabánya, Szent Borbála tér 6.",S,R,,,
10103661,BUDAHUHB,Budapest Bank Zrt. Esztergomi fiók,"2500 Esztergom, Kossuth Lajos utca 14-18.",S,R,,,
10103719,BUDAHUHB,Budapest Bank Zrt. Balassagyarmatif fió,"2660 Balassagyarmat, Rákóczi fejedelem út 14.",S,R,,,
10103726,BUDAHUHB,Budapest Bank Zrt. Salgótarjáni fiók,"3100 Salgótarján, Losonci utca 2.",S,R,,,
10103788,BUDAHUHB,Budapest Bank Zrt. Balatonboglári Fiók,"8630 Balatonboglár, Sétáló utca 3.",S,R,,,
10103805,BUDAHUHB,Budapest Bank Zrt. Dél-Budai Igazgatósá,"1119 Budapest, Etele út 57.",S,R,,,
10103812,BUDAHUHB,Budapest Bank Zrt. Ceglédi fiók,"2700 Cegléd, Rákóczi út 2.",S,R,,,
10103829,BUDAHUHB,Budapest Bank Zrt Dabasi fiók,"2370 Dabas, Falu Tamás utca 4.",S,R,,,
10103836,BUDAHUHB,Budapest Bank Zrt. Gödöllői fiók,"2100 Gödöllő, Kossuth Lajos utca 13.",S,R,,,
10103843,BUDAHUHB,Budapest Bank Zrt. Monori fiók,"2200 Monor, Kossuth Lajos utca 73.",S,R,,,
10103850,BUDAHUHB,Budapest Bank Zrt. Szigetszentmiklósi f,"2310 Szigetszentmiklós, Losonczi utca 1.",S,R,,,
10103867,BUDAHUHB,Budapest Bank Zrt. Ráckevei fiók,"2300 Ráckeve, Kossuth Lajos utca 47.",S,R,,,
10103874,BUDAHUHB,Budapest Bank Zrt. Szentendrei fiók,"2000 Szentendre, Duna korzó 18.",S,R,,,
10103881,BUDAHUHB,Budapest Bank Zrt. Pestszentlőrinci fió,"1184 Budapest, Üllői út 396.",S,R,,,
10103898,BUDAHUHB,Budapest Bank Zrt. Váci fiók,"2600 Vác, Köztársaság út 10.",S,R,,,
10104105,BUDAHUHB,Budapest Bank Zrt. Budagyöngye fiók,"1026 Budapest, Pázsit utca 2.",S,R,,,
10104167,BUDAHUHB,Budapest Bank Zrt. Pestszenterzsébeti f,"1203 Budapest, Török Flóris utca 70.",S,R,,,
10104260,BUDAHUHB,Budapest Bank Zrt. Jászberényi fiók,"5100 Jászberény, Lehel vezér tér 32-33.",S,R,,,
10104459,BUDAHUHB,Budapest Bank Zrt. Nyíregyházi fiók,"4400 Nyíregyháza, Kossuth tér 3.",S,R,,,
10104552,BUDAHUHB,Budapest Bank Zrt Debreceni3 fiók,"4024 Debrecen, Vár utca 6/A",S,R,,,
10104569,BUDAHUHB,Budapest Bank Zrt. Szolnoki fiók,"5000 Szolnok, Hősök tere 1.",S,R,,,
10104617,BUDAHUHB,Budapest Bank Zrt. Szekszárdi fiók,"7100 Szekszárd, Arany János utca 23-25.",S,R,,,
10104789,BUDAHUHB,Budapest Bank Zrt. Szombathelyi fiók,"9700 Szombathely, Kőszegi utca 3/A",S,R,,,
10104820,BUDAHUHB,Budapest Bank Zrt. Veszprémi fiók,"8200 Veszprém, Mindszenty József utca 7.",S,R,,,
10104961,BUDAHUHB,Budapest Bank Zrt. Zalaegerszegi fiók,"8900 Zalaegerszeg, Kossuth Lajos utca 2.",S,R,,,
10104985,BUDAHUHB,Budapest Bank Zrt. Nagykanizsai fiók,"8800 Nagykanizsa, Erzsébet tér 19.",S,R,,,
10104992,BUDAHUHB,Budapest Bank Zrt. Autóhitel fiók,"1138 Budapest, Váci út 193.",S,R,,,
10200012,OKHBHUHB,K&H Bank Zrt. 242 Pécs,"7626 Pécs, Búza tér 6/A",S,R,,,
10200050,OKHBHUHB,K&H Bank Zrt. 460 Szekszárd,"7100 Szekszárd, Széchenyi utca 18-20.",S,R,,,
10200074,OKHBHUHB,K&H Bank Zrt. 063 Kiskunfélegyháza,"6100 Kiskunfélegyháza, Petőfi tér 2.",S,R,,,
10200081,OKHBHUHB,K&H Bank Zrt. 251 Baja,"6500 Baja, Vörösmarty Mihály utca 4.",S,R,,,
10200098,OKHBHUHB,K&H Bank Zrt. 250 Kecskemét,"6000 Kecskemét, Nagykőrösi utca 9/A",S,R,,,
10200108,OKHBHUHB,K&H Bank Zrt. 062 Kiskőrös,"6200 Kiskőrös, Petőfi Sándor tér 2.",S,R,,,
10200115,OKHBHUHB,K&H Bank Zrt. 813 Szarvas,"5540 Szarvas, Szabadság út 30.",S,R,,,
10200122,OKHBHUHB,K&H Bank Zrt. 260 Békéscsaba,"5600 Békéscsaba, Szent István tér 5.",S,R,,,
10200139,OKHBHUHB,K&H Bank Zrt. 276 Miskolc,"3530 Miskolc, Széchenyi István út 88.",S,R,,,
10200146,OKHBHUHB,K&H Bank Zrt. 502 Kazincbarcika,"3700 Kazincbarcika, Egres utca 46/A",S,R,,,
10200153,OKHBHUHB,K&H Bank Zrt. 031 Sárospatak,"3950 Sárospatak, Hild tér 3.",S,R,,,
10200160,OKHBHUHB,K&H Bank Zrt. 032 Szerencs,"3900 Szerencs, Kossuth tér 1.",S,R,,,
10200177,OKHBHUHB,K&H Bank Zrt. 035 Ózd,"3600 Ózd, 48-as út 1.",S,R,,,
10200184,OKHBHUHB,K&H Bank Zrt. 055 Hódmezővásárhely,"6800 Hódmezővásárhely, Kossuth tér 5.",S,R,,,
10200201,OKHBHUHB,K&H Bank Zrt. 126 Szeged,"6720 Szeged, Széchenyi tér 9.",S,R,,,
10200218,OKHBHUHB,K&H Bank Zrt. 046 Dunaújváros,"2400 Dunaújváros, Vasmű út 39.",S,R,,,
10200225,OKHBHUHB,K&H Bank Zrt. 022 Dunaföldvár,"7020 Dunaföldvár, Béke tér 13.",S,R,,,
10200232,OKHBHUHB,K&H Bank Zrt. 290 Székesfehérvár,"8000 Székesfehérvár, Dózsa György út 5.",S,R,,,
10200249,OKHBHUHB,K&H Bank Zrt. 040 Győr,"9022 Győr, Rákóczi Ferenc utca 2-4.",S,R,,,
10200263,OKHBHUHB,K&H Bank Zrt. 498 Kapuvár,"9330 Kapuvár, Fő tér 13.",S,R,,,
10200270,OKHBHUHB,K&H Bank Zrt. 331 Csorna,"9300 Csorna, Soproni út 60.",S,R,,,
10200287,OKHBHUHB,K&H Bank Zrt. 333 Mosonmagyaróvár,"9200 Mosonmagyaróvár, Fő utca 26.",S,R,,,
10200294,OKHBHUHB,K&H Bank Zrt. 497 Sopron,"9400 Sopron, Petőfi tér 7.",S,R,,,
10200304,OKHBHUHB,K&H Bank Zrt. 342 Debrecen,"4024 Debrecen, Piac utca 52.",S,R,,,
10200335,OKHBHUHB,K&H Bank Zrt. 025 Hajdúszoboszló,"4200 Hajdúszoboszló, Szilfákalja 10-12.",S,R,,,
10200342,OKHBHUHB,K&H Bank Zrt. 034 Hajdúböszörmény,"4220 Hajdúböszörmény, Petőfi Sándor utca 15.",S,R,,,
10200380,OKHBHUHB,K&H Bank Zrt. 038 Berettyóújfalu,"4100 Berettyóújfalu, Dózsa György utca 15-17.",S,R,,,
10200421,OKHBHUHB,K&H Bank Zrt. 052 Gyöngyös,"3200 Gyöngyös, Bugát Pál tér 6.",S,R,,,
10200445,OKHBHUHB,K&H Bank Zrt. 350 Eger,"3300 Eger, Barkóczy utca 3.",S,R,,,
10200452,OKHBHUHB,K&H Bank Zrt. 091 Tatabánya,"2800 Tatabánya, Szent Borbála tér 2.",S,R,,,
10200483,OKHBHUHB,K&H Bank Zrt. 364 Esztergom,"2500 Esztergom, Rákóczi tér 1-3.",S,R,,,
10200490,OKHBHUHB,K&H Bank Zrt. 078 Salgótarján,"3100 Salgótarján, Fő tér 4.",S,R,,,
10200500,OKHBHUHB,K&H Bank Zrt. 133 Pásztó,"3060 Pásztó, Kölcsey utca 4.",S,R,,,
10200531,OKHBHUHB,K&H Bank Zrt. 392 Siófok,"8600 Siófok, Kele utca 1-3.",S,R,,,
10200548,OKHBHUHB,K&H Bank Zrt. 391 Tab,"8660 Tab, Kossuth Lajos utca 134.",S,R,,,
10200555,OKHBHUHB,K&H Bank Zrt. 440 Nyíregyháza,"4400 Nyíregyháza, Luther utca 3.",S,R,,,
10200562,OKHBHUHB,K&H Bank Zrt. 067 Mátészalka,"4700 Mátészalka, Kálvin tér 1.",S,R,,,
10200586,OKHBHUHB,K&H Bank Zrt. 056 Jászberény,"5100 Jászberény, Szabadság tér 1.",S,R,,,
10200603,OKHBHUHB,K&H Bank Zrt. 060 Törökszentmiklós,"5200 Törökszentmiklós, Kossuth Lajos utca 125.",S,R,,,
10200610,OKHBHUHB,K&H Bank Zrt. 499 Szolnok,"5000 Szolnok, Kossuth Lajos út 18.",S,R,,,
10200627,OKHBHUHB,K&H Bank Zrt. 108 Dombóvár,"7200 Dombóvár, Szabadság utca 21.",S,R,,,
10200634,OKHBHUHB,K&H Bank Zrt. 081 Ajka,"8400 Ajka, Szabadság tér 11.",S,R,,,
10200641,OKHBHUHB,K&H Bank Zrt. 474 Szombathely,"9700 Szombathely, Kőszegi utca 10.",S,R,,,
10200665,OKHBHUHB,K&H Bank Zrt. 066 Kőszeg,"9730 Kőszeg, Fő tér 4.",S,R,,,
10200689,OKHBHUHB,K&H Bank Zrt. 473 Sárvár,"9600 Sárvár, Batthyány utca 1-3.",S,R,,,
10200696,OKHBHUHB,K&H Bank Zrt. 471 Celldömölk,"9500 Celldömölk, Dr. Géfin Lajos tér 13.",S,R,,,
10200706,OKHBHUHB,K&H Bank Zrt. 472 Körmend,"9900 Körmend, Szabadság tér 8.",S,R,,,
10200713,OKHBHUHB,K&H Bank Zrt. 404 Veszprém,"8200 Veszprém, Cserhát lakótelep 8.",S,R,,,
10200720,OKHBHUHB,K&H Bank Zrt. 072 Tapolca,"8300 Tapolca, Fő tér 5-7.",S,R,,,
10200737,OKHBHUHB,K&H Bank Zrt. 484 Pápa,"8500 Pápa, Kossuth Lajos utca 21.",S,R,,,
10200751,OKHBHUHB,K&H Bank Zrt. 404 Veszprém,"8200 Veszprém, Cserhát lakótelep 8.",S,R,,,
10200768,OKHBHUHB,K&H Bank Zrt. 071 Nagykanizsa,"8800 Nagykanizsa, Fő út 2.",S,R,,,
10200782,OKHBHUHB,K&H Bank Zrt. 490 Zalaegerszeg,"8900 Zalaegerszeg, Dísz tér 2/A",S,R,,,
10200799,OKHBHUHB,K&H Bank Zrt. 390 Kaposvár,"7400 Kaposvár, Széchenyi tér 8.",S,R,,,
10200809,OKHBHUHB,K&H Bank Zrt. 080 Letenye,"8868 Letenye, Szabadság tér 7.",S,R,,,
10200823,OKHBHUHB,K&H Bank Zrt. 500 Budapest,"1051 Budapest, Arany János utca 20.",S,R,,,
10200830,OKHBHUHB,K&H Bank Zrt. 500 Budapest,"1051 Budapest, Arany János utca 20.",S,R,,,
10200847,OKHBHUHB,K&H Bank Zrt. 111 Budapest,"1039 Budapest, Szentendrei út 255.",S,R,,,
10200854,OKHBHUHB,K&H Bank Zrt. 095 Budapest,"1024 Budapest, Margit körút 5/A",S,R,,,
10200878,OKHBHUHB,K&H Bank Zrt. 087 Budapest,"1117 Budapest, Móricz Zsigmond körtér 14.",S,R,,,
10200885,OKHBHUHB,K&H Bank Zrt. 095 Budapest,"1024 Budapest, Margit körút 5/A",S,R,,,
10200892,OKHBHUHB,K&H Bank Zrt. 500 Budapest,"1051 Budapest, Arany János utca 20.",S,R,,,
10200902,OKHBHUHB,K&H Bank Zrt. 500 Budapest,"1051 Budapest, Arany János utca 20.",S,R,,,
10200919,OKHBHUHB,K&H Bank Zrt. 099 Vác,"2600 Vác, Köztársaság út 5.",S,R,,,
10200926,OKHBHUHB,K&H Bank Zrt. 313 Érd,"2030 Érd, Budai út 26.",S,R,,,
10200933,OKHBHUHB,K&H Bank Zrt. Számvitel,"1095 Budapest, Lechner Ödön fasor 9.",S,R,,,
10200940,OKHBHUHB,K&H Bank Zrt. 216 Budapest,"1051 Budapest, Október 6. utca 7.",S,R,,,
10200964,OKHBHUHB,K&H Bank Zrt. 096 Budapest,"1119 Budapest, Fehérvári út 79.",S,R,,,
10200971,OKHBHUHB,K&H Bank Zrt. 100 Budapest,"1133 Budapest, Pozsonyi út 77-79.",S,R,,,
10201006,OKHBHUHB,K&H Bank Zrt. Vállalat,"1095 Budapest, Lechner Ödön fasor 9.",S,R,,,
10201013,OKHBHUHB,K&H Bank Zrt. 101 Mór,"8060 Mór, Bajcsy-Zsilinszky utca 10.",S,R,,,
